utc,gsthour,freq,stokesid,chid,ifid,ch,u12,v12,w12,uvdist12,u23,v23,w23,uvdist23,u31,v31,w31,uvdist31,uvdistmin,uvdistmax,uvdistave,st1,st2,st3,st1name,st2name,st3name,amp,phase,sigma
2016-12-24 09:38:44.998856,15.868862391305509,43007500000.0,1,0,0,0,61051907.99992103,222913823.9997117,-244561135.99968368,231123145.5319983,-387539583.99949867,-150923311.9998048,-159730575.99979338,415890340.44023544,326577343.99957764,-71991279.99990688,404312255.99947697,334418160.40676296,231123145.5319983,415890340.44023544,327143882.1263322,1,2,3,BR,FD,HN,4.943182494789711,26.58718045927011,3.148218326314947
2016-12-24 09:38:44.998856,15.868862391305509,43007500000.0,1,0,0,0,61051907.99992103,222913823.9997117,-244561135.99968368,231123145.5319983,47511363.99993854,-21198973.99997258,93223399.99987942,52026206.93252747,-108565327.99985956,-201715375.99973908,151338495.99980426,229075366.11000583,52026206.93252747,231123145.5319983,170741572.85817719,1,2,4,BR,FD,KP,67.01874713136692,-15.207727004843777,21.022394466496596
2016-12-24 09:38:44.998856,15.868862391305509,43007500000.0,1,0,0,0,61051907.99992103,222913823.9997117,-244561135.99968368,231123145.5319983,-18620257.99997592,-70146391.99990927,48623627.9999371,72575686.82823884,-42432059.99994511,-152767647.99980238,195937215.99974656,158551045.38044038,72575686.82823884,231123145.5319983,154083292.58022583,1,2,5,BR,FD,LA,32.08538731108763,137.23041977626457,11.853934386164758
2016-12-24 09:38:44.998856,15.868862391305509,43007500000.0,1,0,0,0,61051907.99992103,222913823.9997117,-244561135.99968368,231123145.5319983,-184130015.99976185,-141016495.9998176,-50501667.99993467,231925666.83344716,123080703.9998408,-81897303.99989407,295059903.99961835,147837843.9356699,147837843.9356699,231925666.83344716,203628885.43370512,1,2,7,BR,FD,NL,41.749711060234354,-4.435102703023215,11.59089000778648
2016-12-24 09:38:44.998856,15.868862391305509,43007500000.0,1,0,0,0,61051907.99992103,222913823.9997117,-244561135.99968368,231123145.5319983,42360099.99994521,-93604407.99987891,190388079.9997537,102743190.86447117,-103418967.99986622,-129309495.99983272,54166931.99992994,165579070.8329048,102743190.86447117,231123145.5319983,166481802.40979144,1,2,8,BR,FD,OV,48.181021580291755,118.55318504751072,15.626699348481235
2016-12-24 09:38:44.998856,15.868862391305509,43007500000.0,1,0,0,0,61051907.99992103,222913823.9997117,-244561135.99968368,231123145.5319983,6163797.499992028,-51431007.99993347,62325387.99991938,51799044.23355829,-67216551.99991307,-171483135.99977818,182236047.9997643,184186130.8434363,51799044.23355829,231123145.5319983,155702773.53633097,1,2,9,BR,FD,PT,33.23899109104762,134.27628049833982,11.358326959083296
2016-12-24 09:38:44.998856,15.868862391305509,43007500000.0,1,0,0,0,61051907.99992103,222913823.9997117,-244561135.99968368,231123145.5319983,-421393823.999455,199219279.9997423,-368935903.9995228,466112729.3139497,360448895.9995338,-422134303.999454,613521983.9992063,555086279.0957692,231123145.5319983,555086279.0957692,417440717.9805724,1,2,10,BR,FD,SC,29.547604896245137,103.37294907067732,8.745276877881418
2016-12-24 09:38:44.998856,15.868862391305509,43007500000.0,1,0,0,0,-326577343.99957764,71991279.99990688,-404312255.99947697,334418160.40676296,435085471.9994372,129724903.9998322,252936911.9996729,454013126.0907979,-108565327.99985956,-201715375.99973908,151338495.99980426,229075366.11000583,229075366.11000583,454013126.0907979,339168884.2025222,1,3,4,BR,HN,KP,8.910384518100317,-19.001224483690724,5.31863780050246
2016-12-24 09:38:44.998856,15.868862391305509,43007500000.0,1,0,0,0,-326577343.99957764,71991279.99990688,-404312255.99947697,334418160.40676296,368938015.9995228,80776607.99989551,208361055.9997305,377677269.7021002,-42432059.99994511,-152767647.99980238,195937215.99974656,158551045.38044038,158551045.38044038,377677269.7021002,290215491.8297678,1,3,5,BR,HN,LA,9.697369400259054,91.89784126873525,6.110002974168686
2016-12-24 09:38:44.998856,15.868862391305509,43007500000.0,1,0,0,0,-326577343.99957764,71991279.99990688,-404312255.99947697,334418160.40676296,203393199.9997369,9904577.999987187,109295327.99985863,203634217.3395493,123080703.9998408,-81897303.99989407,295059903.99961835,147837843.9356699,147837843.9356699,334418160.40676296,228630073.89399406,1,3,7,BR,HN,NL,26.331270990311495,-32.32761375511129,15.263842461855871
2016-12-24 09:38:44.998856,15.868862391305509,43007500000.0,1,0,0,0,-326577343.99957764,71991279.99990688,-404312255.99947697,334418160.40676296,429971647.99944377,57319663.99992586,350101823.9995472,433775474.1388936,-103418967.99986622,-129309495.99983272,54166931.99992994,165579070.8329048,165579070.8329048,433775474.1388936,311257568.45952046,1,3,8,BR,HN,OV,9.723949567424523,81.48088148422497,5.872734548903679
2016-12-24 09:38:44.998856,15.868862391305509,43007500000.0,1,0,0,0,-326577343.99957764,71991279.99990688,-404312255.99947697,334418160.40676296,393726911.99949074,99492511.99987131,222053471.9997128,406102993.3116712,-67216551.99991307,-171483135.99977818,182236047.9997643,184186130.8434363,184186130.8434363,406102993.3116712,308235761.52062345,1,3,9,BR,HN,PT,6.579760827412405,94.37680903043827,4.038796272205863
2016-12-24 09:38:44.998856,15.868862391305509,43007500000.0,1,0,0,0,-326577343.99957764,71991279.99990688,-404312255.99947697,334418160.40676296,-33844823.99995622,350144127.99954706,-209231295.99972937,351776040.2360445,360448895.9995338,-422134303.999454,613521983.9992063,555086279.0957692,334418160.40676296,555086279.0957692,413760159.9128589,1,3,10,BR,HN,SC,15.16142527925191,86.73619316472374,8.932212402148181
2016-12-24 09:38:44.998856,15.868862391305509,43007500000.0,1,0,0,0,108565327.99985956,201715375.99973908,-151338495.99980426,229075366.11000583,-66131887.99991446,-48947491.99993669,-44599723.99994231,82275656.08074538,-42432059.99994511,-152767647.99980238,195937215.99974656,158551045.38044038,82275656.08074538,229075366.11000583,156634022.52373052,1,4,5,BR,KP,LA,37.03214146199033,107.37890305030486,11.074757105640769
2016-12-24 09:38:44.998856,15.868862391305509,43007500000.0,1,0,0,0,108565327.99985956,201715375.99973908,-151338495.99980426,229075366.11000583,-231641999.9997004,-119817375.99984504,-143725007.9998141,260795359.9191317,123080703.9998408,-81897303.99989407,295059903.99961835,147837843.9356699,147837843.9356699,260795359.9191317,212569523.32160246,1,4,7,BR,KP,NL,96.14771448008244,7.076709487582932,16.42036204063948
2016-12-24 09:38:44.998856,15.868862391305509,43007500000.0,1,0,0,0,108565327.99985956,201715375.99973908,-151338495.99980426,229075366.11000583,-5151784.999993336,-72405047.99990635,97164743.99987432,72588097.26501238,-103418967.99986622,-129309495.99983272,54166931.99992994,165579070.8329048,72588097.26501238,229075366.11000583,155747511.40264103,1,4,8,BR,KP,OV,79.46292512902596,129.38269336329796,19.14637906250547
2016-12-24 09:38:44.998856,15.868862391305509,43007500000.0,1,0,0,0,108565327.99985956,201715375.99973908,-151338495.99980426,229075366.11000583,-41347779.99994652,-30231893.999960896,-30898017.999960035,51221151.15602976,-67216551.99991307,-171483135.99977818,182236047.9997643,184186130.8434363,51221151.15602976,229075366.11000583,154827549.36982396,1,4,9,BR,KP,PT,49.837533218167785,141.28775893915812,13.069492128731678
