utc,gsthour,freq,stokesid,ifid,chid,ch,u,v,w,uvdist,subarray,st1,st2,st1name,st2name,amp,phase,weight,sigma
2016-12-24 09:38:44.998856,15.868862391305509,43007500000.0,1,0,0,0,61051907.99992103,222913823.99971166,-244561135.99968368,231123145.53199825,1,1,2,BR,FD,1.8854437631923018,43.039764657702065,3.8504292964935303,0.5096187795601304
2016-12-24 09:38:44.998856,15.868862391305509,43007500000.0,1,0,0,0,-326577343.9995776,71991279.99990688,-404312255.99947697,334418160.40676296,1,1,3,BR,HN,1.0893054866910472,45.338092892738125,2.5419201850891113,0.6272187680138731
2016-12-24 09:38:44.998856,15.868862391305509,43007500000.0,1,0,0,0,108565327.99985957,201715375.99973908,-151338495.99980426,229075366.11000583,1,1,4,BR,KP,3.9860167520668575,36.37296417063923,2.9258499145507812,0.5846204160663545
2016-12-24 09:38:44.998856,15.868862391305509,43007500000.0,1,0,0,0,42432059.99994511,152767647.99980238,-195937215.99974656,158551045.3804404,1,1,5,BR,LA,3.3994481626875546,-30.419323302280006,1.3745930194854736,0.8529291022278018
2016-12-24 09:38:44.998856,15.868862391305509,43007500000.0,1,0,0,0,-123080703.9998408,81897303.99989407,-295059903.99961835,147837843.9356699,1,1,7,BR,NL,7.270493972360927,28.013669613577107,5.071962833404541,0.44402964771130526
2016-12-24 09:38:44.998856,15.868862391305509,43007500000.0,1,0,0,0,103418967.99986622,129309495.99983273,-54166931.99992994,165579070.83290482,1,1,8,BR,OV,3.207429520692085,-34.79541399148766,3.0580379962921143,0.5718453070951085
2016-12-24 09:38:44.998856,15.868862391305509,43007500000.0,1,0,0,0,67216551.99991307,171483135.99977818,-182236047.9997643,184186130.8434363,1,1,9,BR,PT,1.9748572531806363,-52.27166264456556,6.026637554168701,0.4073450688096792
2016-12-24 09:38:44.998856,15.868862391305509,43007500000.0,1,0,0,0,-360448895.9995338,422134303.999454,-613521983.9992064,555086279.0957692,1,1,10,BR,SC,4.721734891967309,-13.935714285301549,3.301363468170166,0.5503681958933472
2016-12-24 09:38:44.998856,15.868862391305509,43007500000.0,1,0,0,0,-387539583.99949867,-150923311.9998048,-159730575.99979338,415890340.4402354,1,2,3,FD,HN,2.4068186595137555,28.88550869430618,169.60923767089844,0.07678479849858295
2016-12-24 09:38:44.998856,15.868862391305509,43007500000.0,1,0,0,0,47511363.99993854,-21198973.99997258,93223399.99987942,52026206.93252747,1,2,4,FD,KP,8.917509934914841,-21.874527491906626,3.2868030071258545,0.5515859079422668
