M  = 6590
NX = 128
NY = 128

u, v, y_r, y_i, noise_std_dev

0, 9, 2.737669e+01, -2.376920e+01, 5.677594e-01
0, 10, -8.329084e+01, -1.872261e+00, 5.311363e-01
0, 12, 9.115342e+01, 7.077028e+00, 5.396182e-01
0, 13, -3.740326e+01, -2.386999e+01, 5.672332e-01
0, 14, -5.364953e+01, -8.974252e+00, 5.897688e-01
0, 15, 4.684367e+01, 2.294228e+01, 5.824028e-01
0, 16, 6.958635e+00, 8.744883e+00, 5.337686e-01
0, 17, -1.077121e+01, -2.156456e+01, 5.093713e-01
0, 18, 1.660086e+01, -1.926989e+01, 5.370740e-01
0, 19, -3.271980e+01, 2.288527e+01, 5.332466e-01
0, 20, 5.750786e+00, 2.532137e+01, 5.658256e-01
0, 21, 3.067309e+01, -3.179740e+01, 5.013797e-01
0, 22, -2.024012e+01, -2.119117e+01, 5.281324e-01
0, 23, -1.906515e+01, 3.704772e+01, 5.676522e-01
0, 24, 3.004296e+01, 9.911996e+00, 5.852001e-01
0, 25, 9.661061e+00, -3.454977e+01, 5.086984e-01
0, 26, -2.542223e+01, 4.119173e+00, 5.299317e-01
0, 27, 2.238384e+00, 1.462994e+01, 5.549820e-01
0, 29, -7.296663e+00, -1.141019e+01, 5.748554e-01
0, 30, -5.384017e-02, 9.312909e-01, 5.254248e-01
0, 32, -4.822898e+00, -6.698092e+00, 5.126627e-01
0, 34, 6.622143e-01, 4.046286e+00, 5.506297e-01
0, 35, -1.153601e+00, -3.576277e+00, 5.000503e-01
0, 36, 9.916314e-01, -2.672330e+00, 5.116527e-01
0, 38, 1.614016e-01, -1.867068e+00, 5.451314e-01
0, 39, 9.443688e-01, -2.683214e+00, 5.721741e-01
0, 40, 3.788275e+00, -1.011700e+00, 5.726825e-01
0, 41, -5.794899e+00, -5.690101e-01, 5.798870e-01
0, 45, -2.077727e+00, 6.356227e+00, 5.458701e-01
0, 47, 2.160506e+00, -6.510338e+00, 4.975974e-01
0, 49, 9.868810e-01, 1.249345e+00, 5.761404e-01
0, 52, -3.169148e+00, -1.747129e+00, 5.944577e-01
0, 53, 3.021969e+00, -3.281605e+00, 5.416126e-01
0, 55, -1.650656e+00, -3.561885e+00, 5.257532e-01
0, 60, 1.997473e+00, 9.193266e-02, 5.443906e-01
0, 68, 1.997473e+00, -9.193266e-02, 5.443906e-01
0, 73, -1.650656e+00, 3.561885e+00, 5.257532e-01
0, 75, 3.021969e+00, 3.281605e+00, 5.416126e-01
0, 76, -3.169148e+00, 1.747129e+00, 5.944577e-01
0, 79, 9.868810e-01, -1.249345e+00, 5.761404e-01
0, 81, 2.160506e+00, 6.510338e+00, 4.975974e-01
0, 83, -2.077727e+00, -6.356227e+00, 5.458701e-01
0, 87, -5.794899e+00, 5.690101e-01, 5.798870e-01
0, 88, 3.788275e+00, 1.011700e+00, 5.726825e-01
0, 89, 9.443688e-01, 2.683214e+00, 5.721741e-01
0, 90, 1.614016e-01, 1.867068e+00, 5.451314e-01
0, 92, 9.916314e-01, 2.672330e+00, 5.116527e-01
0, 93, -1.153601e+00, 3.576277e+00, 5.000503e-01
0, 94, 6.622143e-01, -4.046286e+00, 5.506297e-01
0, 96, -4.822898e+00, 6.698092e+00, 5.126627e-01
0, 98, -5.384017e-02, -9.312909e-01, 5.254248e-01
0, 99, -7.296663e+00, 1.141019e+01, 5.748554e-01
0, 101, 2.238384e+00, -1.462994e+01, 5.549820e-01
0, 102, -2.542223e+01, -4.119173e+00, 5.299317e-01
0, 103, 9.661061e+00, 3.454977e+01, 5.086984e-01
0, 104, 3.004296e+01, -9.911996e+00, 5.852001e-01
0, 105, -1.906515e+01, -3.704772e+01, 5.676522e-01
0, 106, -2.024012e+01, 2.119117e+01, 5.281324e-01
0, 107, 3.067309e+01, 3.179740e+01, 5.013797e-01
0, 108, 5.750786e+00, -2.532137e+01, 5.658256e-01
0, 109, -3.271980e+01, -2.288527e+01, 5.332466e-01
0, 110, 1.660086e+01, 1.926989e+01, 5.370740e-01
0, 111, -1.077121e+01, 2.156456e+01, 5.093713e-01
0, 112, 6.958635e+00, -8.744883e+00, 5.337686e-01
0, 113, 4.684367e+01, -2.294228e+01, 5.824028e-01
0, 114, -5.364953e+01, 8.974252e+00, 5.897688e-01
0, 115, -3.740326e+01, 2.386999e+01, 5.672332e-01
0, 116, 9.115342e+01, -7.077028e+00, 5.396182e-01
0, 118, -8.329084e+01, 1.872261e+00, 5.311363e-01
0, 119, 2.737669e+01, 2.376920e+01, 5.677594e-01
1, 10, 6.889015e+01, 5.227046e+00, 5.904138e-01
1, 12, -8.816707e+01, -5.896105e+00, 5.397969e-01
1, 13, 3.622182e+01, 1.965267e+01, 5.035379e-01
1, 14, 5.354161e+01, 5.469510e+00, 5.465446e-01
1, 15, -4.914915e+01, -1.929007e+01, 5.885344e-01
1, 16, -4.820466e+00, -8.874116e+00, 5.313601e-01
1, 17, 1.093525e+01, 2.449160e+01, 5.026577e-01
1, 18, -1.006618e+01, 1.664286e+01, 5.360736e-01
1, 19, 2.850212e+01, -2.994924e+01, 5.041242e-01
1, 20, -1.171119e+01, -1.862154e+01, 5.307749e-01
1, 21, -2.675525e+01, 3.832351e+01, 5.817755e-01
1, 22, 2.762784e+01, 1.223213e+01, 5.810259e-01
1, 23, 1.123715e+01, -4.206742e+01, 5.732859e-01
1, 24, -3.859486e+01, -2.656836e+00, 5.457111e-01
1, 25, 5.753360e+00, 3.848891e+01, 5.626733e-01
1, 26, 2.763768e+01, -1.282977e+01, 5.178201e-01
1, 27, -1.058734e+01, -1.380503e+01, 5.414420e-01
1, 28, -1.052636e+01, 8.475267e+00, 5.824774e-01
1, 30, -2.590913e+00, -5.645579e+00, 5.441344e-01
1, 31, -4.881232e+00, -9.035479e+00, 5.484643e-01
1, 32, 9.606062e+00, 6.629009e+00, 5.512854e-01
1, 34, -2.545221e+00, -1.884357e+00, 5.868101e-01
1, 35, 3.990343e+00, 2.220077e+00, 5.759216e-01
1, 36, 1.517672e+00, 1.447517e+00, 5.945594e-01
1, 37, -2.242786e+00, -7.479720e+00, 5.878373e-01
1, 38, 5.043785e-01, 4.646287e+00, 5.567841e-01
1, 45, 2.587639e+00, -6.294552e+00, 5.022918e-01
1, 46, -9.244291e-01, -3.870949e-02, 5.696302e-01
1, 47, -7.005314e-01, 5.251164e+00, 5.061453e-01
1, 49, -1.148359e+00, -6.206386e-01, 5.574600e-01
1, 52, 3.086252e+00, 2.396357e+00, 5.429402e-01
1, 53, -2.568871e+00, 1.306103e+00, 5.387314e-01
1, 55, 3.105820e+00, 2.484456e+00, 5.211209e-01
1, 60, -1.068785e+00, 3.596462e-01, 5.124769e-01
1, 68, -9.788133e-01, -3.008139e-01, 5.477250e-01
1, 72, 1.897730e-01, -1.187039e+00, 5.913569e-01
1, 73, -6.888750e-01, -2.765243e+00, 5.212825e-01
1, 75, -1.436608e+00, -2.222130e+00, 5.078687e-01
1, 77, -2.819493e+00, 3.060283e+00, 5.367740e-01
1, 79, 1.582259e+00, -4.659906e-01, 5.205005e-01
1, 80, -5.461820e-01, 1.194281e+00, 5.420104e-01
1, 81, -3.007618e+00, -3.863041e+00, 5.356408e-01
1, 83, 5.047422e-01, 3.051856e+00, 5.676741e-01
1, 85, 7.162741e-01, 8.777311e-01, 5.074165e-01
1, 86, -7.974791e-01, 3.724072e+00, 5.489153e-01
1, 87, 4.565600e+00, -1.141100e+00, 5.562106e-01
1, 90, 2.078719e+00, 1.545764e+00, 5.831156e-01
1, 91, 3.451467e+00, 4.130780e+00, 5.766352e-01
1, 92, -3.958919e+00, -1.908996e+00, 5.645217e-01
1, 94, 1.517357e+00, 4.895638e+00, 5.598303e-01
1, 96, 1.212561e+00, -1.093994e+00, 5.737152e-01
1, 98, 3.568578e-01, -4.453090e+00, 5.501238e-01
1, 99, 5.856140e+00, -1.095436e+01, 5.224026e-01
1, 101, 6.960318e+00, 1.528132e+01, 5.427563e-01
1, 102, 1.882629e+01, -5.924993e+00, 5.817983e-01
1, 103, -2.037328e+01, -2.340210e+01, 5.242604e-01
1, 104, -1.731824e+01, 1.383355e+01, 5.107144e-01
